Nome Urna;Coligação;Totalização;Partido
MARLON SCHNEIDER (GIGANTE);NOVO;Inapto;30303
MARNE;PODE;Concorrendo;20026
MARTIN KALKMANN;NOVO;Concorrendo;30311
MATEUS DALRI;NOVO;Concorrendo;30001
MATEUS TROJAN;MDB;Concorrendo;15999
MATEUS WESP;PSD;Concorrendo;55055
MATHEUS AYRES;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11500
MATHEUS GOMES;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;50123
MATHEUS SCHILLING;NOVO;Concorrendo;30123
MATHEUS SPERRY;PODE;Concorrendo;20022
MATHEUS VICENTE;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;50050
MAURÍCIO SHOGUN;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45345
MAURO ALMEIDA GESTOR DE RISCOS;REPUBLICANOS;Concorrendo;10011
MEL ALBUQUERQUE;PSD;Concorrendo;55000
MIGUEL PATRIOTA;PODE;Concorrendo;20221
MIGUEL ROSSETTO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13000
MILITSA BUENO;NOVO;Concorrendo;30737
MILLENA VIEIRA;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11777
MÍSSIONARIA FRANCINEIDE;DEMOCRATA;Concorrendo;35900
MISSIONÁRIA IVANETE;PODE;Concorrendo;20345
MOACIR ASCARI FERA;REPUBLICANOS;Concorrendo;10210
MOISÉS BARBOZA;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45900
MOISÉS DE OLIVEIRA;REPUBLICANOS;Concorrendo;10007
MÔNICA;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13789
MONYCA FERREIRA;PODE;Concorrendo;20420
MURILO;MDB;Concorrendo;15156
